City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
138,Conceicao Do Mato Dentro,BR,2022-07-29 02:55:16,-19.0372,-43.425,55.45,66,0,1.52,clear sky,0.0,0.0
139,Umm Kaddadah,SD,2022-07-29 02:55:17,13.6017,26.6876,79.66,62,100,10.16,overcast clouds,0.0,0.0
140,Yellowknife,CA,2022-07-29 02:48:06,62.456,-114.3525,66.72,45,75,14.97,broken clouds,0.0,0.0
141,Nara,JP,2022-07-29 02:50:53,34.6851,135.8049,95.5,36,5,6.15,clear sky,0.0,0.0
142,Roma,US,2022-07-29 02:55:17,43.2128,-75.4557,71.87,88,99,2.91,overcast clouds,0.0,0.0
143,Half Moon Bay,US,2022-07-29 02:53:17,37.4636,-122.4286,69.04,86,100,14.97,mist,0.0,0.0
144,Kirovskiy,RU,2022-07-29 02:51:30,45.0917,133.5136,83.89,63,97,5.55,overcast clouds,0.0,0.0
145,Kloulklubed,PW,2022-07-29 02:52:40,7.0419,134.2556,86.5,74,100,9.8,overcast clouds,0.0,0.0
146,Bac Lieu,VN,2022-07-29 02:55:15,9.285,105.7244,86.61,69,24,10.02,few clouds,0.0,0.0
147,Ponta Do Sol,PT,2022-07-29 02:51:03,32.6667,-17.1,75.0,81,14,3.89,few clouds,0.0,0.0
148,Suileng,CN,2022-07-29 02:55:18,47.25,127.0833,72.66,93,100,10.09,overcast clouds,0.0,0.0
149,Khasan,RU,2022-07-29 02:55:19,42.4308,130.6434,74.55,88,100,10.45,overcast clouds,0.0,0.0
150,Port Hedland,AU,2022-07-29 02:53:10,-20.3167,118.5667,78.85,17,0,14.97,clear sky,0.0,0.0
151,Talara,PE,2022-07-29 02:55:19,-4.5772,-81.2719,64.53,84,25,12.08,scattered clouds,0.0,0.0
152,Bayji,IQ,2022-07-29 02:55:19,34.9311,43.487,88.43,13,0,4.74,clear sky,0.0,0.0
153,Luderitz,NA,2022-07-29 02:53:31,-26.6481,15.1594,52.2,86,79,4.14,broken clouds,0.0,0.0
154,North Bend,US,2022-07-29 02:53:13,43.4065,-124.2243,72.25,90,75,11.5,broken clouds,0.0,0.0
155,Horasan,TR,2022-07-29 02:55:20,40.0458,42.1728,60.96,62,0,1.63,clear sky,0.0,0.0
156,Brewster,US,2022-07-29 02:55:20,41.3973,-73.6171,79.92,91,78,4.16,broken clouds,0.0,0.0
157,Bilibino,RU,2022-07-29 02:51:04,68.0546,166.4372,57.83,42,83,9.22,broken clouds,0.0,0.0
158,Kars,TR,2022-07-29 02:55:21,40.602,43.095,59.04,67,0,2.26,clear sky,0.0,0.0
159,Tooele,US,2022-07-29 02:51:02,40.5308,-112.2983,84.29,32,0,0.0,clear sky,0.0,0.0
160,Mezen,RU,2022-07-29 02:55:21,65.8522,44.24,56.16,83,84,6.87,broken clouds,0.0,0.0
161,Iguape,BR,2022-07-29 02:52:16,-24.7081,-47.5553,69.62,62,87,7.81,overcast clouds,0.0,0.0
162,Nikolskoye,RU,2022-07-29 02:51:18,59.7035,30.7861,57.79,95,20,3.47,few clouds,0.0,0.0
163,Katsuura,JP,2022-07-29 02:51:45,35.1333,140.3,84.78,76,22,12.62,few clouds,0.0,0.0
164,Hurghada,EG,2022-07-29 02:55:22,27.2574,33.8129,82.53,37,19,12.1,few clouds,0.0,0.0
165,Port-Gentil,GA,2022-07-29 02:55:22,-0.7193,8.7815,73.2,80,100,10.47,overcast clouds,0.0,0.0
166,Ancud,CL,2022-07-29 02:53:18,-41.8697,-73.8203,44.22,78,100,4.41,overcast clouds,0.0,0.0
167,Tromso,NO,2022-07-29 02:49:40,69.6496,18.957,47.37,93,75,2.3,broken clouds,0.0,0.0
168,Bad Sooden-Allendorf,DE,2022-07-29 02:55:23,51.2833,9.9833,63.41,61,100,1.01,light rain,0.0,0.0
169,Esna,EG,2022-07-29 02:55:23,25.2934,32.554,82.42,18,69,6.51,broken clouds,0.0,0.0
170,Bandarbeyla,SO,2022-07-29 02:51:27,9.4942,50.8122,76.64,75,68,23.38,broken clouds,0.0,0.0
171,Bambous Virieux,MU,2022-07-29 02:52:43,-20.3428,57.7575,70.05,68,40,6.91,scattered clouds,0.0,0.0
172,Conde,BR,2022-07-29 02:55:24,-7.2597,-34.9075,72.86,94,0,3.44,clear sky,0.0,0.0
173,Atikokan,CA,2022-07-29 02:52:54,48.7555,-91.6216,53.24,88,89,6.46,overcast clouds,0.0,0.0
174,Kathmandu,NP,2022-07-29 02:55:24,27.7167,85.3167,75.42,83,75,3.44,broken clouds,0.0,0.0
175,Ossora,RU,2022-07-29 02:55:24,59.2353,163.0719,55.44,69,50,7.94,scattered clouds,0.0,0.0
176,Katete,UG,2022-07-29 02:55:25,-0.7818,29.7544,61.2,94,88,2.06,moderate rain,0.0,0.0
177,Nevel,RU,2022-07-29 02:55:26,56.0209,29.9284,51.73,99,32,4.25,scattered clouds,0.0,0.0
178,Isangel,VU,2022-07-29 02:55:26,-19.55,169.2667,77.11,78,100,8.05,overcast clouds,0.0,0.0
