City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Teahupoo,PF,2022-07-26 03:34:57,-17.8333,-149.2667,72.54,91,100,9.73
222,Tabou,CI,2022-07-26 03:40:53,4.423,-7.3528,72.54,80,4,4.56
223,Katsuura,JP,2022-07-26 03:33:42,35.1333,140.3,80.94,86,100,18.05
224,Portland,US,2022-07-26 03:33:45,45.5234,-122.6762,93.78,40,0,10.36
225,Melfi,IT,2022-07-26 03:41:48,40.9965,15.6514,67.5,72,0,7.63
226,Zhigansk,RU,2022-07-26 03:37:00,66.7697,123.3711,74.16,45,14,2.51
227,Poum,NC,2022-07-26 03:32:27,-20.2333,164.0167,73.67,70,0,9.04
228,Moron,AR,2022-07-26 03:41:48,-34.6534,-58.6198,61.0,99,98,7.58
229,Lagoa,PT,2022-07-26 03:34:48,39.05,-27.9833,73.13,90,0,9.98
230,Hami,CN,2022-07-26 03:34:42,42.8,93.45,90.3,14,0,1.81
231,Sisimiut,GL,2022-07-26 03:36:44,66.9395,-53.6735,41.92,94,100,8.28
232,Ust-Uda,RU,2022-07-26 03:41:49,54.1742,103.0304,57.54,87,100,10.6
233,Kuloy,RU,2022-07-26 03:41:49,61.0305,42.4925,62.53,66,16,5.06
234,Anadyr,RU,2022-07-26 03:36:28,64.75,177.4833,52.3,66,75,4.47
235,Yichun,CN,2022-07-26 03:41:50,47.7,128.9,82.74,53,11,0.43
236,Avera,US,2022-07-26 03:37:11,33.194,-82.5271,80.11,67,100,5.66
237,Sept-Iles,CA,2022-07-26 03:40:31,50.2001,-66.3821,63.12,99,100,8.05
238,Morgan City,US,2022-07-26 03:36:08,29.6994,-91.2068,79.0,86,30,5.46
239,Harper,LR,2022-07-26 03:35:39,4.375,-7.7169,72.48,80,3,4.92
240,Liverpool,GB,2022-07-26 03:41:17,53.4106,-2.9779,56.61,92,75,3.0
241,Margate,GB,2022-07-26 03:38:37,51.3813,1.3862,60.87,79,26,3.0
242,Atakpame,TG,2022-07-26 03:41:50,7.5333,1.1333,68.77,96,89,1.57
243,Tarancon,ES,2022-07-26 03:41:51,40.0085,-3.0073,69.03,36,0,2.21
244,Launceston,AU,2022-07-26 03:41:51,-41.45,147.1667,59.61,74,75,8.05
245,Hirara,JP,2022-07-26 03:34:55,24.8,125.2833,95.27,52,20,9.22
246,College,US,2022-07-26 03:35:47,64.8569,-147.8028,77.58,41,75,20.71
247,Hamilton,US,2022-07-26 03:33:49,39.1834,-84.5333,75.4,84,100,1.01
248,Biloela,AU,2022-07-26 03:41:52,-24.4167,150.5,72.46,52,0,8.77
249,Saint-Pierre,RE,2022-07-26 03:35:00,-21.3393,55.4781,67.68,61,100,6.91
250,Sitka,US,2022-07-26 03:36:29,57.0531,-135.33,57.09,94,100,0.0
251,Port Elizabeth,ZA,2022-07-26 03:32:14,-33.918,25.5701,48.49,91,0,9.22
252,Ambulu,ID,2022-07-26 03:41:52,-8.345,113.6058,83.17,62,34,8.99
253,Ust-Tsilma,RU,2022-07-26 03:41:53,65.441,52.1498,55.18,54,99,10.65
254,Poronaysk,RU,2022-07-26 03:39:24,49.2167,143.1167,65.16,91,84,4.18
255,Ericeira,PT,2022-07-26 03:41:53,38.9627,-9.4156,69.78,94,9,13.65
256,Luwuk,ID,2022-07-26 03:36:17,-0.9516,122.7875,83.68,75,66,6.89
257,Eydhafushi,MV,2022-07-26 03:41:54,5.1033,73.0708,82.2,77,90,17.69
258,Provideniya,RU,2022-07-26 03:34:14,64.3833,-173.3,50.36,62,75,22.37
259,Shimoda,JP,2022-07-26 03:36:07,34.6667,138.95,86.36,92,100,12.8
260,Saint-Denis,FR,2022-07-26 03:41:54,48.9167,2.3333,63.37,81,0,9.22
261,San Rafael,AR,2022-07-26 03:37:27,-34.6177,-68.3301,46.49,94,25,1.77
262,Zaozerne,UA,2022-07-26 03:41:55,45.1582,33.2787,70.21,76,1,10.92
263,Mar Del Plata,AR,2022-07-26 03:34:58,-38.0023,-57.5575,55.09,98,100,15.01
264,Touros,BR,2022-07-26 03:39:22,-5.1989,-35.4608,71.51,87,81,14.47
265,Aklavik,CA,2022-07-26 03:34:17,68.2191,-135.0107,71.24,53,100,4.72
266,Raudeberg,NO,2022-07-26 03:39:51,61.9875,5.1352,54.95,89,100,9.22
267,Motygino,RU,2022-07-26 03:41:56,58.1831,94.7592,66.36,58,100,9.35
268,La Ronge,CA,2022-07-26 03:31:01,55.1001,-105.2842,64.62,55,75,6.91
269,Bathsheba,BB,2022-07-26 03:35:35,13.2167,-59.5167,83.01,95,75,13.8
270,Nuevitas,CU,2022-07-26 03:41:56,21.5453,-77.2644,79.21,83,97,10.98
271,San Quintin,MX,2022-07-26 03:34:56,30.4833,-115.95,67.19,85,4,9.82
272,Matamoros,MX,2022-07-26 03:41:57,25.5333,-103.25,86.11,32,75,13.8
273,Simiti,CO,2022-07-26 03:41:57,7.9579,-73.9436,74.32,97,96,2.35
274,Helong,CN,2022-07-26 03:41:57,42.5397,128.9972,82.9,63,99,4.61
275,Kumukh,RU,2022-07-26 03:41:58,42.1704,47.1161,59.67,66,0,1.95
276,Jaru,BR,2022-07-26 03:41:58,-10.4389,-62.4664,73.18,42,9,1.34
277,Tebingtinggi,ID,2022-07-26 03:41:59,3.3285,99.1625,88.59,55,91,2.3
278,Jalu,LY,2022-07-26 03:42:00,29.0331,21.5482,78.4,36,0,8.99
279,Los Llanos De Aridane,ES,2022-07-26 03:35:24,28.6585,-17.9182,73.15,69,0,12.66
280,Port Hueneme,US,2022-07-26 03:42:00,34.1478,-119.1951,74.79,87,100,10.36
281,Ancud,CL,2022-07-26 03:32:13,-41.8697,-73.8203,49.23,90,100,13.33
282,Borovoy,RU,2022-07-26 03:42:00,55.4333,86.0833,65.48,77,88,0.0
283,Male,MV,2022-07-26 03:42:01,4.1748,73.5089,82.35,83,75,23.02
284,Ayorou,NE,2022-07-26 03:42:01,14.7308,0.9174,82.47,60,100,9.22
285,Tezu,IN,2022-07-26 03:40:13,27.9167,96.1667,85.46,75,77,3.78
286,Carnarvon,AU,2022-07-26 03:34:37,-24.8667,113.6333,69.17,33,0,4.41
287,Porto Novo,BJ,2022-07-26 03:40:48,6.4965,2.6036,76.82,90,99,6.53
288,Port-Gentil,GA,2022-07-26 03:36:42,-0.7193,8.7815,74.19,77,90,12.93
289,Saint George,US,2022-07-26 03:34:23,37.1041,-113.5841,72.19,87,0,8.05
290,Severo-Kurilsk,RU,2022-07-26 03:34:31,50.6789,156.125,55.11,80,42,8.77
291,Brunico,IT,2022-07-26 03:42:02,46.7958,11.9364,64.09,94,100,3.22
292,Finschhafen,PG,2022-07-26 03:42:03,-6.6024,147.8681,84.67,67,77,10.83
293,Codrington,AU,2022-07-26 03:33:26,-38.2667,141.9667,52.39,64,94,22.28
